field_id,gewas,crop_class,area_ha,ndvi_apr,ndvi_may,ndvi_jun,ndvi_jul,ndvi_aug,ndvi_sep,ndvi_oct,ndwi_apr,ndwi_may,ndwi_jun,ndwi_jul,ndwi_aug,ndwi_sep,ndwi_oct,ndvi_peak,ndvi_peak_month,ndvi_season_mean,ndvi_range,ndwi_peak,ndwi_peak_month,ndwi_season_mean,ndwi_range
528,"Aardappelen, consumptie",Potato,1.8768846311525504,0.28252064112130093,0.25323944326388204,0.7942281615162606,0.8779575950994838,0.6669762352204813,0.3381324442128092,0.3002288639875541,-0.39558695778832337,-0.34719250430299836,-0.6970815223352158,-0.7765013216309266,-0.6230845634376879,-0.4220617172023804,-0.407775711707738,0.8779575950994838,jul,0.5018976263459674,0.6247181518356018,-0.34719250430299836,may,-0.5241834712007529,0.4293088173279282
529,"Bieten, suiker-",Sugar beet,3.6386659775754278,0.22500938104518547,0.32631835705794215,0.8430152078552825,0.8665074596384175,0.821826767209708,0.42856867711151003,0.2348464301967738,-0.335487880645592,-0.3773934303751869,-0.7366694814764059,-0.736666073274423,-0.7009365416421408,-0.39889434767558163,-0.3634446578227422,0.8665074596384175,jul,0.5351560400164028,0.641498078593232,-0.335487880645592,apr,-0.521356058987439,0.4011816008308139
530,"Bieten, suiker-",Sugar beet,2.273283970806276,0.30572816665961555,0.41367605729248186,0.8611093784383099,0.8325986984845876,0.6606520187511425,0.8190505468410336,0.7575564311646228,-0.3857485576254836,-0.4307879875072506,-0.7507115024541777,-0.7139380159311867,-0.5625129299231771,-0.6974190569049786,-0.65401215932086,0.8611093784383099,jun,0.6643387568045421,0.5553812117786944,-0.3857485576254836,apr,-0.5993043156667307,0.3649629448286941
531,"Bieten, suiker-",Sugar beet,2.555026476899222,0.2718744535519566,0.43029047255637654,0.8527884303523351,0.7923220299040613,0.7181646541629856,0.8213977830736947,0.7495890396642717,-0.37102824459264305,-0.44389767999017626,-0.7534420953885043,-0.6853104985683972,-0.6072026968832591,-0.7037027455124637,-0.6504834610723543,0.8527884303523351,jun,0.6623466947522402,0.5809139768003785,-0.37102824459264305,apr,-0.6021524888582569,0.3824138507958612
532,"Bieten, suiker-",Sugar beet,2.709432607760558,0.30126850221140716,0.4270582327085119,0.8783970033761827,0.8596627694801978,0.8122409902890166,0.7586724393517121,0.7889431987092143,-0.3834502508635346,-0.44111086616755285,-0.7760876667503726,-0.7500179776341631,-0.6959143165002966,-0.6636668086061009,-0.6875082962116107,0.8783970033761827,jun,0.6894633051608918,0.5771285011647755,-0.3834502508635346,apr,-0.6282508832476615,0.3926374158868379
533,"Grasland, tijdelijk",Grass,1.3042184048528564,0.7641080757394902,0.6606727378738263,0.7410627120534987,0.6615070356943299,0.4360870835209383,0.7238561425195681,0.8903111496987116,-0.6640164941169336,-0.6181865338111566,-0.6766208161413861,-0.632334170156858,-0.4334077092451764,-0.6199026786393075,-0.7773923976836978,0.8903111496987116,oct,0.6968007053000519,0.45422406617777333,-0.4334077092451764,aug,-0.6316943999706451,0.3439846884385214
534,"Mais, snij-",Maize,1.191257118930231,0.32961633839111104,0.33465491215552245,0.747755420931059,0.8886839036146325,0.6938900984706052,0.5304299815005112,0.3408463584785764,-0.40596486950131877,-0.39379779988884595,-0.6811419271888018,-0.8139899988030894,-0.6397212889199546,-0.4982559805747974,-0.4163507613703666,0.8886839036146325,jul,0.5522681447917168,0.5590675652235214,-0.39379779988884595,may,-0.5498889466067391,0.4201921989142435
535,"Mais, snij-",Maize,3.4674398657578043,0.8644209675130208,0.3899753905280206,0.5224876813147493,0.772750069303508,0.7911326220152771,0.5389935109291258,0.3315338633194047,-0.7707141317650705,-0.4700189810040549,-0.5429656486441824,-0.7294385764994139,-0.7214142183122941,-0.540173624080736,-0.4576846074649547,0.8644209675130208,apr,0.6016134435604438,0.5328871041936161,-0.4576846074649547,oct,-0.6046299696815295,0.3130295243001158
536,Maiskolvensilage,Maize,2.1442096324146753,0.8033115654285764,0.2797709995248111,0.5670780357293118,0.8704676555712746,0.7742184994830088,0.30015015385756166,0.3791244153379353,-0.7248216745382423,-0.38619109809442553,-0.55523782503975,-0.7987802745502123,-0.7345353427860892,-0.378854472624783,-0.4258293165039101,0.8704676555712746,jul,0.5677316178474971,0.5906966560464635,-0.378854472624783,sep,-0.5720357148767732,0.4199258019254293
537,"Bieten, suiker-",Sugar beet,7.789404613969577,0.21494300133840824,0.34609775636950063,0.8426984734151238,0.870593751836684,0.8369557696282717,0.43314585082037343,0.2292679043916218,-0.33394411099104937,-0.38930417617024404,-0.7373987809134038,-0.7361326751755168,-0.7106655857048985,-0.411165415768878,-0.3620962085438367,0.870593751836684,jul,0.5391003582571405,0.6556507504982757,-0.33394411099104937,apr,-0.525815279038261,0.40345466992235446
538,"Bieten, suiker-",Sugar beet,4.017900171576198,0.2631178393287477,0.36324394983577796,0.8437270729792367,0.8580371887592403,0.8092901171833016,0.43497487088813336,0.2695482018297189,-0.36578831583443094,-0.40043683071520986,-0.7344264543597543,-0.7261921744263095,-0.6983983883406465,-0.4300238527401819,-0.3790127200113435,0.8580371887592403,jul,0.5488484629720224,0.5949193494304925,-0.36578831583443094,apr,-0.533468390918268,0.36863813852532334
